5412	2686	5	994734464
5440	2496	3	959995759
368	2916	3	976312686
425	1580	4	976283908
4942	3699	4	962641865
4668	541	4	963801581
2907	3534	2	971817872
2376	1683	4	974334566
3824	21	2	978123950
5605	277	1	959560081
4414	2541	5	965560462
5848	919	3	957781479
5812	3360	4	957938867
285	1278	5	1025213283
5491	69	3	959867838
824	3507	4	975378506
349	110	5	1006700302
817	2133	5	975387587
3228	1196	5	968416553
4626	2395	3	964113032
5805	908	5	957989716
4732	2021	4	963332586
1800	3255	4	974741982
3163	3534	1	968887561
1422	1278	4	976120173
5172	1821	3	983731374
2892	2005	4	972006920
5166	1256	5	961984817
58	2628	4	977935606
411	11	4	976388087
3272	1372	4	971255338
411	2088	2	987174243
2421	2533	3	974238238
1975	1223	5	974684647
1966	850	3	974685464
5785	1704	5	958746579
3415	2294	4	967518326
1788	1721	2	974700788
4052	3452	4	971551627
4887	2770	4	962740292
3878	2013	5	965839576
2817	50	4	972675161
5809	1233	5	957982482
288	260	5	976566957
927	3793	3	979433743
4509	3365	4	964980758
1460	356	5	974755778
4823	3536	3	1014336687
1259	3150	4	974820720
5371	1641	4	960481342
1202	2640	4	974846013
1005	2395	4	975037731
5519	1124	3	960430500
2857	1049	3	972508216
3936	356	4	965700558
4588	2423	3	964316011
2947	1080	4	1037737230
3594	1019	3	966636151
5447	597	4	959971785
4868	2926	4	1038946447
4384	424	3	965364468
3189	2006	2	969862002
4177	3471	4	965332035
5755	1614	3	958281309
3807	1805	5	970438899
5996	1588	5	966275896
889	2867	3	975250562
3919	3827	5	965736023
3605	3113	3	966615241
1958	237	2	994387624
709	1990	1	975540834
869	24	4	975277395
1121	1617	4	974912184
5458	3426	2	1014247625
5776	1917	4	958169375
672	590	5	975624773
2665	2064	4	973451251
1179	2628	2	974867895
3822	145	2	967586506
4388	546	2	965218514
349	2296	1	1005452671
982	2100	5	975102523
99	3317	4	994354176
3985	1923	5	965625171
1391	597	4	974771327
1540	914	3	974770262
6002	1295	5	969071498
3995	1792	4	966189961
1285	588	4	974832966
5809	955	5	957988086
1339	3525	2	974780920
2344	2000	4	974414935
832	1777	1	975363310
3044	2340	5	970213073
371	3481	3	976314895
4415	1272	4	965151648
3389	2321	4	967512717
5795	1888	1	958148642
2445	1518	3	974217533
5213	2908	3	961563717
2986	2336	4	979195963
4387	2863	1	965170318
3180	42	3	968804272
5433	2420	4	960243075
3592	2236	4	966646449
3144	3484	4	968977769
5227	2835	1	961475984
5102	1036	5	962347717
1317	429	2	975215878
738	3717	4	976233311
2919	3489	4	975445571
3359	111	4	967788482
5643	3566	4	958888729
3976	2599	5	965650547
4592	1378	5	964299636
579	2518	4	975977815
3650	2528	4	970772169
215	1909	5	976899739
4139	147	4	965350302
1613	415	3	974734653
5039	736	1	962512952
536	2973	4	976138281
4700	1416	4	963590815
3391	1458	3	1046199673
678	230	4	989239156
5511	2581	5	959788344
3503	2011	4	967749749
1015	3362	4	975015686
5560	2926	3	959375793
4007	2429	3	965550174
4416	1197	4	965325138
10	2033	3	978224675
5463	3724	3	959900294
5763	1269	2	960676872
4373	923	5	965183239
4408	1249	4	965153105
4815	3153	4	962928487
5501	3479	2	959797910
5283	2139	4	961166295
5406	1197	4	960304807
18	1022	5	978154907
3841	1988	2	966001467
1051	705	1	998862124
5089	2589	2	963080576
1254	1247	5	974822835
799	29	5	975402910
3346	3683	4	967774581
3957	2852	4	965673186
1172	1892	3	974868201
4064	2384	5	965480065
2996	2161	4	972700672
1062	3629	5	975054488
667	2448	2	977090646
424	3043	1	1017245046
1926	2437	4	974771269
1951	34	3	974697328
854	144	3	975352132
4169	1594	5	973310265
1919	70	4	974691492
4506	3421	4	964982420
412	2331	4	976297463
2771	1090	2	973104146
